Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Project),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
BUG-007: Session Token Not Invalidated After Logout,SCRUM-11,10010,Bug,To Do,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,High,,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 2:00 PM,11/Jun/26 2:00 PM,11/Jun/26 2:00 PM,,30/Jun/26 12:00 AM,0,"h3. Summary

User session remains active even after clicking the Logout button.

h3. Description

After logging out, the previous session token can still be used to access authenticated API endpoints and pages via browser back navigation.

h3. Steps to Reproduce

# Login to the application.
# Navigate to any authenticated page.
# Click Logout.
# Press the browser Back button or replay a captured API request using the old session token.

h3. Expected Result

Session token should be invalidated on the server immediately after logout, and any subsequent request should redirect to the login page.

h3. Actual Result

Authenticated pages and API calls remain accessible using the old session token.

h3. Severity

Critical

h3. Priority

High

h3. Module

Authentication / Security",,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,,SCRUM Sprint 0,,,,,,,,To Do,11/Jun/26 2:00 PM
BUG-008: Password Reset Link Does Not Expire,SCRUM-12,10011,Bug,To Do,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,High,,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 2:05 PM,11/Jun/26 2:05 PM,11/Jun/26 2:05 PM,,30/Jun/26 12:00 AM,0,"h3. Summary

Password reset link remains valid indefinitely instead of expiring after the documented time window.

h3. Description

The ""Forgot Password"" email link is expected to expire 30 minutes after generation, but the link continues to work even after several days.

h3. Steps to Reproduce

# Trigger a password reset from the login page.
# Wait more than 30 minutes.
# Open the reset link from the email.
# Set a new password.

h3. Expected Result

Reset link should be rejected and display an ""expired link"" message after 30 minutes.

h3. Actual Result

Reset link allows password change regardless of how much time has passed.

h3. Severity

Critical

h3. Priority

High

h3. Module

Authentication / Security",,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,,SCRUM Sprint 0,,,,,,,,To Do,11/Jun/26 2:05 PM
BUG-009: File Upload Accepts Unsupported File Types,SCRUM-13,10012,Bug,To Do,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,Medium,,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 2:10 PM,11/Jun/26 2:10 PM,11/Jun/26 2:10 PM,,,0,"h3. Summary

Document upload control allows executable and script files despite UI restrictions.

h3. Description

The Attachments section is intended to allow only PDF, DOCX, and image files, but the upload accepts .exe and .js files without any validation error.

h3. Steps to Reproduce

# Open any record with an Attachments section.
# Click Upload File.
# Select a file with .exe extension.
# Submit the upload.

h3. Expected Result

Upload should be rejected with a message listing the allowed file types.

h3. Actual Result

File is uploaded and stored successfully regardless of extension.

h3. Severity

Major

h3. Priority

Medium

h3. Module

File Management",,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,,SCRUM Sprint 0,,,,,,,,To Do,11/Jun/26 2:10 PM
BUG-010: Pagination Displays Duplicate Records on Subsequent Pages,SCRUM-14,10013,Bug,To Do,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,Medium,,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 2:15 PM,11/Jun/26 2:15 PM,11/Jun/26 2:15 PM,,,0,"h3. Summary

List view pagination shows the same records repeated across multiple pages.

h3. Description

When navigating through paginated results on the Customer List page, several records from page 1 reappear on page 2.

h3. Steps to Reproduce

# Navigate to Customer List.
# Set page size to 20.
# Go to page 1 and note the last 5 records.
# Go to page 2.
# Compare the first 5 records with the last 5 records of page 1.

h3. Expected Result

Each record should appear only once across all pages.

h3. Actual Result

Several records are duplicated between page 1 and page 2.

h3. Severity

Major

h3. Priority

Medium

h3. Module

UI / Data Display",,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,,SCRUM Sprint 0,,,,,,,,To Do,11/Jun/26 2:15 PM
BUG-011: Search Returns No Results for Partial Keyword Match,SCRUM-15,10014,Bug,To Do,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,Medium,,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 2:20 PM,11/Jun/26 2:20 PM,11/Jun/26 2:20 PM,,,0,"h3. Summary

Global search fails to return results when a partial keyword is entered.

h3. Description

Searching for ""Equip"" does not return records containing ""Equipment"", even though partial match search is a documented requirement.

h3. Steps to Reproduce

# Open the global Search bar.
# Enter a partial keyword, e.g. ""Equip"".
# Press Enter.

h3. Expected Result

Search should return all records whose fields contain the entered substring.

h3. Actual Result

Search returns ""No results found"" for partial keywords; only exact matches return results.

h3. Severity

Minor

h3. Priority

Medium

h3. Module

Search",,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,,SCRUM Sprint 0,,,,,,,,To Do,11/Jun/26 2:20 PM
BUG-012: Email Notification Not Triggered on Status Change,SCRUM-16,10015,Bug,To Do,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,High,,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 2:25 PM,11/Jun/26 2:25 PM,11/Jun/26 2:25 PM,,30/Jun/26 12:00 AM,0,"h3. Summary

Users are not notified by email when the status of their assigned ticket changes.

h3. Description

Per the notification configuration, an email should be sent to the assignee whenever a ticket status changes from ""Open"" to ""Resolved"". This email is not being sent.

h3. Steps to Reproduce

# Open a ticket assigned to a test user.
# Change the status from Open to Resolved.
# Save the change.
# Check the assignee's mailbox.

h3. Expected Result

Assignee should receive an email notification confirming the status change.

h3. Actual Result

No email notification is received.

h3. Error Log

Notification queue shows job completed with zero recipients.

h3. Severity

Major

h3. Priority

High

h3. Module

Notification Engine",,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,,SCRUM Sprint 0,,,,,,,,To Do,11/Jun/26 2:25 PM
BUG-013: Date Field Displays Incorrect Timezone Offset,SCRUM-17,10016,Bug,To Do,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,Medium,,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 2:30 PM,11/Jun/26 2:30 PM,11/Jun/26 2:30 PM,,,0,"h3. Summary

Timestamps on the Activity Log are displayed in UTC instead of the user's local timezone.

h3. Description

The Activity Log shows event times that are offset by several hours compared to the user's configured timezone in profile settings.

h3. Steps to Reproduce

# Set user profile timezone to ""Asia/Tokyo"".
# Perform an action that creates an activity log entry.
# Open the Activity Log.
# Compare the displayed timestamp with the system clock.

h3. Expected Result

Timestamps should be converted and displayed according to the user's configured timezone.

h3. Actual Result

Timestamps are displayed in UTC regardless of profile timezone setting.

h3. Severity

Minor

h3. Priority

Medium

h3. Module

Localization / UI",,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,,SCRUM Sprint 0,,,,,,,,To Do,11/Jun/26 2:30 PM
BUG-014: Export to Excel Generates Corrupted File for Large Datasets,SCRUM-18,10017,Bug,To Do,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,High,,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 2:35 PM,11/Jun/26 2:35 PM,11/Jun/26 2:35 PM,,30/Jun/26 12:00 AM,0,"h3. Summary

Exporting more than 10,000 records to Excel produces a file that cannot be opened.

h3. Description

When exporting the full Equipment list (approximately 15,000 records) to Excel, the downloaded .xlsx file fails to open in Microsoft Excel with a ""file format or extension is not valid"" error.

h3. Steps to Reproduce

# Navigate to Equipment List.
# Remove all filters so that all ~15,000 records are in scope.
# Click Export to Excel.
# Open the downloaded file in Microsoft Excel.

h3. Expected Result

Exported file should open correctly and contain all records, optionally split across multiple sheets.

h3. Actual Result

Excel reports the file is corrupted and cannot be opened.

h3. Severity

Major

h3. Priority

High

h3. Module

Reporting / Export",,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,,SCRUM Sprint 0,,,,,,,,To Do,11/Jun/26 2:35 PM
BUG-015: Form Validation Allows Special Characters in Name Field,SCRUM-19,10018,Bug,To Do,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,Low,,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 2:40 PM,11/Jun/26 2:40 PM,11/Jun/26 2:40 PM,,,0,"h3. Summary

The Customer Name field accepts special characters that should be blocked by validation.

h3. Description

The First Name and Last Name fields on the Customer Registration form are documented to allow only letters, spaces, and hyphens, but currently accept characters such as < > { } ; and emoji.

h3. Steps to Reproduce

# Navigate to Customer Registration.
# Enter ""<script>"" in the First Name field.
# Complete the remaining required fields.
# Submit the form.

h3. Expected Result

Form should display a validation error and prevent submission when invalid characters are entered.

h3. Actual Result

Form submits successfully and stores the value as entered.

h3. Severity

Minor

h3. Priority

Low

h3. Module

Input Validation",,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,,SCRUM Sprint 0,,,,,,,,To Do,11/Jun/26 2:40 PM
BUG-016: Concurrent Edits Cause Silent Data Overwrite,SCRUM-20,10019,Bug,To Do,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,High,,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 2:45 PM,11/Jun/26 2:45 PM,11/Jun/26 2:45 PM,,30/Jun/26 12:00 AM,0,"h3. Summary

When two users edit the same record simultaneously, the second save silently overwrites the first user's changes.

h3. Description

There is no optimistic locking or conflict warning when two users open the same Equipment record for editing and save changes within a short time of each other.

h3. Steps to Reproduce

# User A opens Equipment record EQ-12345 for editing.
# User B opens the same record for editing.
# User A updates the Capacity field and saves.
# User B updates the Location field and saves.

h3. Expected Result

System should warn User B that the record was modified since it was loaded and prompt to merge or reload.

h3. Actual Result

User B's save overwrites User A's change to the Capacity field without any warning.

h3. Severity

Critical

h3. Priority

High

h3. Module

Data Integrity",,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,,SCRUM Sprint 0,,,,,,,,To Do,11/Jun/26 2:45 PM
BUG-017: Session Timeout Does Not Redirect User to Login Page,SCRUM-21,10020,Bug,To Do,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,Medium,,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 2:50 PM,11/Jun/26 2:50 PM,11/Jun/26 2:50 PM,,,0,"h3. Summary

After the session expires due to inactivity, the application does not redirect the user to the login page.

h3. Description

Once the configured 30-minute idle timeout is reached, subsequent navigation within the application shows blank pages or partial data instead of redirecting to the login screen.

h3. Steps to Reproduce

# Login to the application.
# Leave the browser tab idle for more than 30 minutes.
# Click on any navigation menu item.

h3. Expected Result

User should be redirected to the login page with a ""session expired"" message.

h3. Actual Result

Page attempts to load and shows empty content or a generic error without redirecting to login.

h3. Severity

Major

h3. Priority

Medium

h3. Module

Session Management",,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,,SCRUM Sprint 0,,,,,,,,To Do,11/Jun/26 2:50 PM
BUG-018: Column Sort Order Not Persisted After Page Refresh,SCRUM-22,10021,Bug,To Do,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,Low,,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 2:55 PM,11/Jun/26 2:55 PM,11/Jun/26 2:55 PM,,,0,"h3. Summary

Column sort order selected by the user resets after refreshing the page.

h3. Description

On the Tickets List page, sorting by ""Priority"" column is not retained after the browser is refreshed; the list reverts to the default sort order.

h3. Steps to Reproduce

# Navigate to Tickets List.
# Click on the ""Priority"" column header to sort descending.
# Refresh the browser page.

h3. Expected Result

The list should remain sorted by ""Priority"" descending after refresh.

h3. Actual Result

List reverts to the default sort order (Created date descending).

h3. Severity

Minor

h3. Priority

Low

h3. Module

UI / Usability",,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,,SCRUM Sprint 0,,,,,,,,To Do,11/Jun/26 2:55 PM
BUG-019: API Response Time Exceeds SLA Under Peak Load,SCRUM-23,10022,Bug,To Do,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,High,,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 3:00 PM,11/Jun/26 3:00 PM,11/Jun/26 3:00 PM,,30/Jun/26 12:00 AM,0,"h3. Summary

The /api/equipment/search endpoint exceeds the 2-second SLA response time during peak usage hours.

h3. Description

During load testing simulating 200 concurrent users, the equipment search API has an average response time of 6.5 seconds, well above the documented 2-second SLA.

h3. Steps to Reproduce

# Run the load test script with 200 concurrent virtual users against /api/equipment/search.
# Monitor average and 95th percentile response times.

h3. Expected Result

95th percentile response time should remain under 2 seconds under the tested load.

h3. Actual Result

Average response time is 6.5 seconds and 95th percentile exceeds 12 seconds.

h3. Technical Observation

Database query for the search endpoint is missing an index on the ""equipment_status"" column.

h3. Severity

Major

h3. Priority

High

h3. Module

Performance / API",,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,,SCRUM Sprint 0,,,,,,,,To Do,11/Jun/26 3:00 PM
